what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.resources,1258725143118
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.4.0.v200805131030,org.eclipse.uml2.codegen.ecore.ui,1258725143118
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.exporter,1258725143118
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.2.0.v200805131030,org.eclipse.uml2.uml.ecore.importer,1258725143118
stopped,bundle,org.eclipse.xsd.ecore.exporter,2.4.0.v200902171115,org.eclipse.xsd.ecore.exporter,1258725143134
stopped,bundle,org.eclipse.emf.exporter,2.4.0.v200902171115,org.eclipse.emf.exporter,1258725143134
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200902171115,org.eclipse.emf.importer.ecore,1258725143134
stopped,bundle,org.eclipse.emf.importer.java,2.4.1.v200902171115,org.eclipse.emf.importer.java,1258725143134
stopped,bundle,org.eclipse.emf.importer.rose,2.4.0.v200902171115,org.eclipse.emf.importer.rose,1258725143134
stopped,bundle,org.eclipse.xsd.ecore.importer,2.4.0.v200902171115,org.eclipse.xsd.ecore.importer,1258725143134
stopped,bundle,org.eclipse.emf.importer,2.4.1.v200902171115,org.eclipse.emf.importer,1258725143134
stopped,bundle,org.eclipse.emf.converter,2.4.0.v200902171115,org.eclipse.emf.converter,1258725143134
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.4.1.v200902171115,org.eclipse.emf.codegen.ecore.ui,1258725143134
stopped,bundle,org.eclipse.emf.codegen.ui,2.4.0.v200902171115,org.eclipse.emf.codegen.ui,1258725143134
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200902171115,org.eclipse.emf.mapping.ecore2ecore.editor,1258725143134
stopped,bundle,org.eclipse.emf.ecore.editor,2.4.0.v200902171115,org.eclipse.emf.ecore.editor,1258725143134
stopped,bundle,org.eclipse.emf.ecore.sdo.editor,2.4.0.v200902171115,org.eclipse.emf.ecore.sdo.editor,1258725143134
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.4.0.v200902171115,org.eclipse.emf.mapping.ecore2xml.ui,1258725143134
stopped,bundle,org.eclipse.emf.mapping.xsd2ecore.editor,2.4.0.v200902171115,org.eclipse.emf.mapping.xsd2ecore.editor,1258725143134
stopped,bundle,org.eclipse.emf.mapping.ui,2.4.0.v200902171115,org.eclipse.emf.mapping.ui,1258725143134
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1258725143134
stopped,bundle,org.eclipse.emf.common.ui,2.4.0.v200902171115,org.eclipse.emf.common.ui,1258725143134
stopped,bundle,org.eclipse.jst.common.project.facet.ui,1.3.1.v200807031821,org.eclipse.jst.common.project.facet.ui,1258725143134
stopped,bundle,org.eclipse.rse.subsystems.files.local,2.1.0.v20080604,org.eclipse.rse.subsystems.files.local,1258725143134
stopped,bundle,org.eclipse.rse.subsystems.processes.local,2.1.0.v20080604,org.eclipse.rse.subsystems.processes.local,1258725143134
