what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.wst.css.ui,1.0.301.v200807170605,org.eclipse.wst.css.ui,1258724940294
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1258724940294
stopped,bundle,org.eclipse.wst.xml.ui,1.0.430.v200901212230,org.eclipse.wst.xml.ui,1258724940294
stopped,bundle,org.eclipse.wst.common.ui,1.1.302.v200810160107,org.eclipse.wst.common.ui,1258724940294
stopped,bundle,org.eclipse.wst.jsdt.ui,1.0.104.v200901290004,org.eclipse.wst.jsdt.ui,1258724940294
stopped,bundle,org.eclipse.wst.javascript.ui,1.0.200.v200805160650,org.eclipse.wst.javascript.ui,1258724940294
stopped,bundle,org.eclipse.wst.sse.ui,1.1.4.v200901202345,org.eclipse.wst.sse.ui,1258724940294
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.ui,5.0.1.200902130801,org.eclipse.cdt.debug.gdbjtag.ui,1258724940294
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1258724940294
stopped,bundle,org.eclipse.cdt.debug.gdbjtag.core,5.0.1.200902130801,org.eclipse.cdt.debug.gdbjtag.core,1258724940294
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1258724940294
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1258724940310
stopped,bundle,org.eclipse.cdt.managedbuilder.ui.tests,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.ui.tests,1258724940310
stopped,bundle,org.eclipse.cdt.managedbuilder.xlc.ui,5.0.0.200902130801,org.eclipse.cdt.managedbuilder.xlc.ui,1258724940310
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1258724940310
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1258724940310
stopped,bundle,org.eclipse.cdt.ui.tests,5.0.2.200902130801,org.eclipse.cdt.ui.tests,1258724940310
stopped,bundle,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui,1258724940310
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1258724940310
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1258724940310
stopped,bundle,org.eclipse.team.cvs.ui,3.3.100.r34x_20090121,org.eclipse.team.cvs.ui,1258724940325
stopped,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1258724940341
stopped,bundle,org.eclipse.compare,3.4.1.r34x_20090121,org.eclipse.compare,1258724940341
stopped,bundle,org.eclipse.ui.externaltools,3.2.0.v20080514-1542,org.eclipse.ui.externaltools,1258724940341
stopped,bundle,org.eclipse.datatools.sqltools.debugger.core,1.0.0.v200808140615,org.eclipse.datatools.sqltools.debugger.core,1258724940341
